Date,Open,High,Low,Close,Adj Close,Volume
11/23/2020,7.28,7.47,7.05,7.34,7.34,4599700
11/24/2020,7.98,8.25,7.671,8.02,8.02,9177900
11/25/2020,7.85,8.1,7.67,7.97,7.97,4451700
11/27/2020,7.97,8.555,7.63,8.47,8.47,7217500
11/30/2020,8.69,8.99,8.1,8.85,8.85,13735600
12/1/2020,9,9.15,8.24,8.32,8.32,7558100
12/2/2020,8.46,8.88,8.4,8.55,8.55,13218100
12/3/2020,8.559,8.91,8.26,8.8,8.8,5815000
12/4/2020,8.96,9.04,8.44,8.63,8.63,9240400
12/7/2020,8.57,8.64,8.22,8.47,8.47,4583300
12/8/2020,8.34,8.69,8.295,8.64,8.64,3088400
12/9/2020,8.62,8.789,8.16,8.32,8.32,3616400
12/10/2020,8.185,8.44,8.12,8.14,8.14,3525600
12/11/2020,8.12,8.124,7.91,7.98,7.98,3136200
12/14/2020,8.04,8.19,7.84,7.87,7.87,2681200
12/15/2020,7.89,8.135,7.695,8.12,8.12,3094600
12/16/2020,8.34,8.35,7.95,8.11,8.11,3489700
12/17/2020,8.12,8.13,7.88,7.9,7.9,2626200
12/18/2020,7.88,7.98,7.725,7.78,7.78,2096600
12/21/2020,7.55,7.77,7.445,7.47,7.47,2631900
12/22/2020,7.49,7.7,7.4,7.58,7.58,2346000
12/23/2020,7.561,7.91,7.38,7.68,7.68,3146300
12/24/2020,7.716,7.73,7.45,7.48,7.48,1537900
12/28/2020,7.53,7.58,7.28,7.3,7.3,2408800
12/29/2020,7.34,7.47,7.02,7.12,7.12,2901600
12/30/2020,7.14,7.35,7.093,7.24,7.24,2183100
12/31/2020,7.2,7.215,6.9,6.94,6.94,2819600
1/4/2021,6.96,7.7,6.95,7.61,7.61,6094600
1/5/2021,7.668,7.78,7.405,7.52,7.52,4570200
1/6/2021,8.49,9.07,8.11,8.65,8.65,16559500
1/7/2021,9.12,9.37,8.78,8.81,8.81,10473500
1/8/2021,8.88,9.09,8.6,9.06,9.06,5245400
1/11/2021,8.85,10,8.81,9.8,9.8,8303000
1/12/2021,9.91,10.079,9.56,9.76,9.76,5539300
1/13/2021,9.73,10.84,9.69,10.7,10.7,9588600
1/14/2021,10.91,11.62,10.9,11.26,11.26,9774100
